region,latitude,longitude,soil_type,flood_frequency,rainfall_intensity,elevation_category,distance_from_river,label,rainfall_source,elevation_source,rainfall_category
Himalayan Foothills,30.414402322346348,77.61744884799299,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Himalayan Foothills,33.39354781915885,75.99145422845532,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Western Ghats,15.98763552683554,76.98438579142038,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,18.603453190169088,84.24686516520357,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,32.86449589944633,77.06930848229497,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Himalayan Foothills,28.141986608208708,75.66946597822647,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Western Ghats,11.38860618050981,74.10672089588901,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Western Ghats,15.749674919753271,75.31672116326503,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Ganges Plains,26.818287344859694,80.36659506924529,silt,3.0,120.0,low,0.5,High,region-rule-offline,region-rule-offline,Heavy
Western Ghats,14.536833080923692,74.19751500879991,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,28.888562713404895,74.42146486636064,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Coastal Odisha,18.80047556985763,85.56384719431924,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,33.80133462429016,77.30337486171555,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Coastal Odisha,18.03444306582846,85.88288727744077,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Western Ghats,9.63407359538829,75.86476720315765,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,30.185328830687585,73.32950241139989,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Himalayan Foothills,33.80133462429016,77.30337486171555,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Himalayan Foothills,33.80133462429016,77.30337486171555,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Western Ghats,12.446146587244947,75.8736331011853,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Western Ghats,14.789565875314445,73.66524444241566,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,18.00171568838383,84.29662422801869,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Western Ghats,10.178785698518531,75.41931930812089,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,33.88689812318956,82.18809891709572,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Himalayan Foothills,33.0075701193161,83.06768176330608,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Western Ghats,15.658541126877385,76.98169075797085,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,19.36117111898762,86.81526371008432,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,29.99311280767857,89.68550183491818,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Himalayan Foothills,32.81341083362283,88.41721653913031,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Western Ghats,13.096907018411038,74.0478210497374,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,32.45170046703686,84.74194158422699,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Coastal Odisha,20.42249099329993,83.76163965744752,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Western Ghats,11.208322340395622,73.23454159988871,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,20.9524956340979,83.39367148460784,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Ganges Plains,27.371407680759237,86.20799929236996,silt,3.0,120.0,low,0.5,High,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,28.888562713404895,74.42146486636064,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Western Ghats,14.768829706358844,73.36919387085094,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,19.41801307893538,86.13847769716301,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,18.795169886820176,86.48973216434104,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Ganges Plains,24.106143878735455,81.59070120549319,silt,3.0,120.0,low,0.5,High,region-rule-offline,region-rule-offline,Heavy
Ganges Plains,24.874551899214413,84.0428423048269,silt,3.0,120.0,low,0.5,High,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,20.335879435891673,85.1214146887807,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,18.33465652078763,84.73906100267642,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,33.6421820243811,84.86904096018192,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Coastal Odisha,20.9524956340979,83.39367148460784,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,19.207863846306807,84.35721042157985,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Ganges Plains,27.990150425980442,84.07621034941171,silt,3.0,120.0,low,0.5,High,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,32.81341083362283,88.41721653913031,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Himalayan Foothills,30.579328899939007,83.01971084271796,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Western Ghats,9.909487620926768,74.58314338716502,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,29.85570797325192,79.75946526376512,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Western Ghats,15.658541126877385,76.98169075797085,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Western Ghats,11.208322340395622,73.23454159988871,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,29.497178435337545,73.95307881176393,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Ganges Plains,27.56871827081938,80.69551066103533,silt,3.0,120.0,low,0.5,High,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,33.423571429359356,82.36621549490492,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Himalayan Foothills,28.002435638183726,77.45136062050962,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Coastal Odisha,18.686825351433463,86.62168005202452,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,19.41801307893538,86.13847769716301,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Western Ghats,11.38860618050981,74.10672089588901,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,20.985448069982684,85.59951223055782,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,33.82240366613337,75.3927885072768,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Coastal Odisha,18.714013903106984,85.67591111318512,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,20.57890620076124,83.28342939955462,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Western Ghats,8.640891721924696,73.7432998439229,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Western Ghats,12.8934221258076,76.94893225452601,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,20.187227548379553,85.6934581891732,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Coastal Odisha,19.826910634314515,83.61135707419854,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,32.68069745122865,88.79855932756917,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
Coastal Odisha,19.270735869059763,84.8680986721467,clay,4.0,200.0,low,0.2,High,region-rule-offline,region-rule-offline,Heavy
Western Ghats,11.38860618050981,74.10672089588901,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Western Ghats,9.63407359538829,75.86476720315765,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Western Ghats,12.182261724255671,76.7388250309457,loam,2.0,300.0,mid,2.0,Medium,region-rule-offline,region-rule-offline,Heavy
Himalayan Foothills,33.6354228419483,74.19149328517713,sandy,1.0,80.0,high,5.0,Low,region-rule-offline,region-rule-offline,Moderate
